Img_id,Leaf_pixel_ratio,Edge_pixel_ratio,EXG,EXR,VARI,Variety,FreshWeightShoot,DryWeightShoot,Height,Diameter,LeafArea,DMC
1,0.02172275641025645,0.0023365384615384732,0.03232779399538793,0.2547942335307237,-0.22246643953533576,Satine,2.6,0.14,8.2,12.0,80.6,0.05384615384615385
2,0.014383012820512797,0.001945512820512807,0.02114545470482141,0.27512412673381087,-0.2539786720289895,Satine,2.1,0.1,8.5,8.2,67.4,0.047619047619047616
3,0.011439102564102521,0.001548076923076902,0.037576266554529114,0.24563911840640607,-0.20806285185187698,Satine,2.0,0.09,7.5,9.5,65.0,0.045
4,0.01095673076923076,0.0018525641025640693,0.011310785818958325,0.22821322810294212,-0.21690244228398378,Satine,2.7,0.13,6.0,10.6,78.7,0.04814814814814815
5,0.016480769230769243,0.0018349358974358854,0.176076744922451,0.16272312297233138,0.013353621950119668,Lugano,2.3,0.11,8.3,9.8,73.9,0.04782608695652174
6,0.02123397435897434,0.002065705128205142,0.1505153233808279,0.16493833964401347,-0.014423016263185599,Lugano,3.3,0.14,8.4,13.4,107.8,0.042424242424242434
7,0.02128525641025636,0.002033653846153838,0.21028113345372473,0.15847264964298935,0.051808483810735356,Lugano,3.3,0.15,7.1,13.0,96.5,0.045454545454545456
8,0.016334935897435843,0.0018605769230769509,0.1581811393765818,0.16536137469974554,-0.007180235323163748,Lugano,2.5,0.1,8.3,12.2,79.8,0.04
9,0.011921474358974393,0.0012516025641026163,0.1286335451926316,0.16631513339047094,-0.03768158819783937,Lugano,2.5,0.1,4.3,9.8,72.2,0.04
10,0.012576923076923041,0.0017291666666666705,0.08590065958671965,0.22391894535104298,-0.13801828576432335,Salanova,1.4,0.09,5.1,13.0,57.6,0.0642857142857143
11,0.021626602564102537,0.0023621794871795387,0.11256927913486336,0.22149619821281735,-0.10892691907795399,Salanova,2.0,0.11,5.6,16.5,74.8,0.055
12,0.02034615384615379,0.0017660256410256814,0.05214219584832682,0.25159505390243536,-0.1994528580541085,Salanova,2.2,0.15,7.1,12.6,81.1,0.06818181818181818
13,0.024628205128205183,0.002905448717948733,0.09737912759380105,0.22314016516744872,-0.12576103757364768,Salanova,2.2,0.13,10.1,13.6,82.1,0.05909090909090909
14,0.028386217948717984,0.002527243589743544,0.11440550450837972,0.22603197680172682,-0.11162647229334709,Salanova,2.4,0.14,5.6,13.1,87.5,0.05833333333333334
15,0.022698717948717917,0.0026089743589743364,0.20736242494110574,0.15848063596591722,0.0488817889751885,Aphylion,3.2,0.16,5.1,16.1,87.6,0.049999999999999996
16,0.01792307692307693,0.002408653846153852,0.18649672187741065,0.1685331947764179,0.01796352710099278,Aphylion,3.8,0.16,9.6,18.2,102.4,0.04210526315789474
17,0.010961538461538467,0.0018157051282051695,0.1512125063359202,0.1759132431186913,-0.02470073678277109,Aphylion,2.8,0.12,5.0,14.5,67.2,0.04285714285714286
18,0.016794871794871824,0.0022499999999999742,0.16720813425564313,0.17253143598488205,-0.005323301729238954,Aphylion,3.1,0.14,6.2,17.6,84.5,0.04516129032258065
19,0.01851442307692308,0.0022067307692307248,0.1828345244713239,0.1655942011586191,0.017240323312704798,Aphylion,3.0,0.13,5.4,15.5,82.7,0.043333333333333335
20,0.021195512820512796,0.002355769230769189,0.20937907308694448,0.1658801572492362,0.04349891583770831,Lugano,4.5,0.4,8.5,13.0,127.4,0.08888888888888889
21,0.03798237179487185,0.0036586538461538254,0.2306001647120161,0.15860899772375142,0.07199116698826467,Lugano,7.8,0.7,7.9,13.0,178.0,0.08974358974358974
22,0.019825320512820488,0.0026907051282051286,0.2054297862439855,0.16684417565065487,0.038585610593330634,Lugano,4.7,0.41,5.4,13.3,121.0,0.08723404255319148
23,0.02965224358974361,0.0030881410256410335,0.21419905374036374,0.16775234966512706,0.04644670407523668,Lugano,6.0,0.53,8.5,15.5,154.2,0.08833333333333333
24,0.03516666666666668,0.0033509615384614833,0.21773494784490635,0.1536323421939701,0.06410260565093623,Lugano,6.1,0.57,7.8,17.1,166.2,0.09344262295081968
25,0.03569230769230769,0.003461538461538516,0.21320580719443463,0.1539211092651198,0.05928469792931482,Lugano,6.1,0.55,6.5,15.8,164.8,0.09016393442622953
26,0.029160256410256435,0.003597756410256392,0.19093038887956834,0.16949914955671877,0.021431239322849564,Lugano,4.7,0.43,5.5,13.5,131.0,0.09148936170212765
27,0.031065705128205168,0.0030224358974358934,0.20534697632053645,0.16746478365946577,0.03788219266107067,Lugano,5.5,0.42,9.0,11.0,153.9,0.07636363636363636
28,0.03393589743589742,0.004062499999999969,0.22427113175051555,0.15925035607082635,0.06502077567968917,Lugano,8.3,0.63,8.0,13.0,202.4,0.07590361445783132
29,0.03369230769230769,0.0030176282051281866,0.2512684039417177,0.16016752886827482,0.09110087507344289,Lugano,7.4,0.63,6.0,14.0,177.6,0.08513513513513513
30,0.03966826923076927,0.0036073717948718054,0.2458764954574383,0.16033157472793058,0.08554492072950774,Lugano,9.8,0.75,6.5,16.3,214.5,0.07653061224489795
31,0.031435897435897475,0.003030448717948664,0.23379395301723158,0.16325447555958414,0.07053947745764746,Lugano,6.6,0.58,7.5,14.6,159.3,0.08787878787878788
32,0.04242467948717954,0.0028349358974358863,-0.12685091776277474,0.30728986004737024,-0.43414077781014504,Salanova,7.3,0.88,7.7,20.0,260.2,0.12054794520547946
33,0.029123397435897425,0.001979166666666643,-0.12580339483221464,0.2997544053278842,-0.4255578001600989,Salanova,3.8,0.45,5.5,16.8,139.5,0.11842105263157895
34,0.026725961538461518,0.0018846153846153735,-0.13328555075535775,0.2925253148195685,-0.4258108655749263,Salanova,4.5,0.6,6.5,18.6,161.8,0.13333333333333333
35,0.03160096153846159,0.002774038461538453,-0.12494575294294738,0.3099445932448251,-0.43489034618777256,Salanova,5.5,0.65,7.0,19.5,188.8,0.11818181818181818
36,0.03092788461538465,0.0023349358974359413,-0.13187224262459396,0.32448391657582276,-0.45635615920041683,Salanova,3.5,0.35,7.3,16.0,137.4,0.09999999999999999
37,0.04040705128205124,0.002991987179487232,-0.147110492245935,0.33115831543955876,-0.47826880768549374,Salanova,4.8,0.59,6.3,18.0,175.2,0.12291666666666666
38,0.03162179487179484,0.002496794871794883,-0.0755566896613503,0.3030897865521368,-0.3786464762134872,Salanova,4.7,0.49,7.2,16.0,156.7,0.10425531914893617
39,0.04602243589743593,0.0028621794871794837,-0.04233023452830373,0.291858334639547,-0.3341885691678508,Salanova,7.4,0.64,7.5,19.4,242.7,0.08648648648648648
